job_title,company_size,job_category,description,city,country,remote_work,annual_salary_usd,demand_score,posting_year,required_skills,source,url
Generative AI Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Python|Deployment|LLMs|GenAI APIs|Diffusion Models|Git|Statistics|Linux,Sydney,Australia,Fully Remote,353000.0,95,2026,Python|Deployment|LLMs|GenAI APIs|Diffusion Models|Git|Statistics|Linux,Kaggle AI Jobs,
Prompt Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Prompt Design|NLP|Documentation|Python|Statistics|Linux,Toronto,Canada,Fully Remote,98000.0,82,2025,Prompt Design|NLP|Documentation|Python|Statistics|Linux,Kaggle AI Jobs,
AI Infrastructure Eng,Big Tech (FAANG+),Infrastructure,Infrastructure - CUDA|Storage|Distributed Systems|Communication|Research|Agile,New York,USA,Fully Remote,324000.0,85,2026,CUDA|Storage|Distributed Systems|Communication|Research|Agile,Kaggle AI Jobs,
NLP Engineer,SME (51-500),AI Engineering,AI Engineering - Hugging Face|LLMs|BERT|Research|Statistics,New York,USA,Hybrid,284000.0,91,2025,Hugging Face|LLMs|BERT|Research|Statistics,Kaggle AI Jobs,
LLM Engineer,SME (51-500),AI Engineering,AI Engineering - RAG|LLM APIs|Prompt Engineering|Vector DBs|Fine-tuning|Linux|Communication,Boston,USA,Fully Remote,251000.0,98,2026,RAG|LLM APIs|Prompt Engineering|Vector DBs|Fine-tuning|Linux|Communication,Kaggle AI Jobs,
Multimodal AI Engineer,Enterprise (5000+),AI Engineering,AI Engineering - APIs|Vision-Language Models|Python|PyTorch|Statistics|Cloud|Linux,Austin,USA,Fully Remote,360000.0,90,2025,APIs|Vision-Language Models|Python|PyTorch|Statistics|Cloud|Linux,Kaggle AI Jobs,
AI Research Scientist,Startup (1-50),Research,Research - Python|Publishing|Mathematics|Deep Learning|Research|Leadership|Communication,Sydney,Australia,Hybrid,163000.0,88,2025,Python|Publishing|Mathematics|Deep Learning|Research|Leadership|Communication,Kaggle AI Jobs,
AI Research Scientist,Enterprise (5000+),Research,Research - Python|Mathematics|PyTorch|Deep Learning|Publishing|Leadership|Problem Solving,Sydney,Australia,Hybrid,291000.0,88,2026,Python|Mathematics|PyTorch|Deep Learning|Publishing|Leadership|Problem Solving,Kaggle AI Jobs,
AI Compliance Manager,Startup (1-50),Governance,Governance - Legal Knowledge|Documentation|EU AI Act|Auditing|Risk Management|Communication|Linux|Git,Los Angeles,USA,Hybrid,117000.0,68,2025,Legal Knowledge|Documentation|EU AI Act|Auditing|Risk Management|Communication|Linux|Git,Kaggle AI Jobs,
AI Research Scientist,Startup (1-50),Research,Research - Publishing|Mathematics|Deep Learning|Python|PyTorch|Statistics|Leadership|Problem Solving,Amsterdam,Netherlands,Hybrid,124000.0,88,2025,Publishing|Mathematics|Deep Learning|Python|PyTorch|Statistics|Leadership|Problem Solving,Kaggle AI Jobs,
Senior Data Scientist,SME (51-500),Data Science,Data Science - Advanced Statistics|Deep Learning|ML|Python|Leadership|Cloud|Linux,Paris,France,Hybrid,157000.0,90,2025,Advanced Statistics|Deep Learning|ML|Python|Leadership|Cloud|Linux,Kaggle AI Jobs,
Senior ML Engineer,SME (51-500),AI Engineering,AI Engineering - PyTorch|System Design|MLOps|Distributed Systems|Python|LLM Fine-tuning|Agile,Berlin,Germany,Hybrid,185000.0,96,2025,PyTorch|System Design|MLOps|Distributed Systems|Python|LLM Fine-tuning|Agile,Kaggle AI Jobs,
AI Compliance Manager,SME (51-500),Governance,Governance - Legal Knowledge|EU AI Act|Auditing|Leadership,Berlin,Germany,Fully Remote,100000.0,68,2025,Legal Knowledge|EU AI Act|Auditing|Leadership,Kaggle AI Jobs,
MLOps Engineer,Mid-size (501-5000),ML Operations,ML Operations - Kubernetes|Docker|MLflow|CI/CD|Cloud|Python|SQL|Leadership,Tokyo,Japan,On-site,130000.0,93,2025,Kubernetes|Docker|MLflow|CI/CD|Cloud|Python|SQL|Leadership,Kaggle AI Jobs,
AI Agent Developer,SME (51-500),AI Engineering,AI Engineering - Planning Systems|AutoGen|APIs|LangChain|Python|Tool Use|Git|Agile|Cloud,Singapore,Singapore,Fully Remote,217000.0,96,2025,Planning Systems|AutoGen|APIs|LangChain|Python|Tool Use|Git|Agile|Cloud,Kaggle AI Jobs,
ML Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - MLOps|SQL|Python|PyTorch|Problem Solving,Seattle,USA,Fully Remote,336000.0,97,2026,MLOps|SQL|Python|PyTorch|Problem Solving,Kaggle AI Jobs,
Generative AI Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - GenAI APIs|Python|Fine-tuning|LLMs|Statistics|SQL|Cloud,Dubai,UAE,Hybrid,158000.0,95,2025,GenAI APIs|Python|Fine-tuning|LLMs|Statistics|SQL|Cloud,Kaggle AI Jobs,
AI Compliance Manager,Mid-size (501-5000),Governance,Governance - Auditing|Legal Knowledge|EU AI Act|Leadership|SQL,Boston,USA,Fully Remote,164000.0,68,2026,Auditing|Legal Knowledge|EU AI Act|Leadership|SQL,Kaggle AI Jobs,
Data Engineer (AI),Startup (1-50),Data Engineering,Data Engineering - Airflow|ETL|Spark|Leadership,Boston,USA,Fully Remote,187000.0,88,2026,Airflow|ETL|Spark|Leadership,Kaggle AI Jobs,
NLP Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Python|LLMs|Hugging Face|Text Processing|BERT|Cloud|SQL,Remote,Global,Fully Remote,318000.0,91,2025,Python|LLMs|Hugging Face|Text Processing|BERT|Cloud|SQL,Kaggle AI Jobs,
Generative AI Engineer,Startup (1-50),AI Engineering,AI Engineering - Python|Diffusion Models|LLMs|Fine-tuning|GenAI APIs|Linux|Statistics|Cloud,Toronto,Canada,Fully Remote,164000.0,95,2026,Python|Diffusion Models|LLMs|Fine-tuning|GenAI APIs|Linux|Statistics|Cloud,Kaggle AI Jobs,
Senior Data Scientist,Mid-size (501-5000),Data Science,Data Science - Deep Learning|Python|ML|Advanced Statistics|Causal Inference|Leadership|Git|Cloud,Austin,USA,Hybrid,157000.0,90,2025,Deep Learning|Python|ML|Advanced Statistics|Causal Inference|Leadership|Git|Cloud,Kaggle AI Jobs,
AI Infrastructure Eng,Enterprise (5000+),Infrastructure,Infrastructure - Networking|Storage|Kubernetes|Problem Solving,London,UK,Hybrid,158000.0,85,2026,Networking|Storage|Kubernetes|Problem Solving,Kaggle AI Jobs,
Prompt Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Testing|Python|LLM APIs|Prompt Design|NLP|Documentation|SQL|Leadership,San Francisco,USA,Hybrid,240000.0,82,2025,Testing|Python|LLM APIs|Prompt Design|NLP|Documentation|SQL|Leadership,Kaggle AI Jobs,
NLP Engineer,Startup (1-50),AI Engineering,AI Engineering - BERT|LLMs|Text Processing|Hugging Face|Cloud,Toronto,Canada,Hybrid,145000.0,91,2026,BERT|LLMs|Text Processing|Hugging Face|Cloud,Kaggle AI Jobs,
Robotics Engineer (AI),Mid-size (501-5000),Robotics,Robotics - Simulation|C++|Python|Control Systems|Git|Problem Solving,Austin,USA,Hybrid,264000.0,76,2026,Simulation|C++|Python|Control Systems|Git|Problem Solving,Kaggle AI Jobs,
Deep Learning Engineer,Startup (1-50),AI Engineering,AI Engineering - PyTorch|GPU Computing|CUDA|Python|TensorFlow|Neural Networks|Leadership|Agile,Zurich,Switzerland,Fully Remote,141000.0,89,2026,PyTorch|GPU Computing|CUDA|Python|TensorFlow|Neural Networks|Leadership|Agile,Kaggle AI Jobs,
AI Ethics Officer,Big Tech (FAANG+),Governance,Governance - AI Policy|Research|Ethics Frameworks|Communication|Cloud|Research|Git,Amsterdam,Netherlands,Hybrid,134000.0,72,2026,AI Policy|Research|Ethics Frameworks|Communication|Cloud|Research|Git,Kaggle AI Jobs,
AI Research Scientist,SME (51-500),Research,Research - Mathematics|Publishing|Research|PyTorch|Python|Deep Learning|Agile|Leadership|Git,San Francisco,USA,On-site,191000.0,88,2026,Mathematics|Publishing|Research|PyTorch|Python|Deep Learning|Agile|Leadership|Git,Kaggle AI Jobs,
Senior Data Scientist,Startup (1-50),Data Science,Data Science - Leadership|Deep Learning|Causal Inference|Advanced Statistics|Python|Leadership|Agile|Linux,Berlin,Germany,Fully Remote,157000.0,90,2025,Leadership|Deep Learning|Causal Inference|Advanced Statistics|Python|Leadership|Agile|Linux,Kaggle AI Jobs,
NLP Engineer,SME (51-500),AI Engineering,AI Engineering - Text Processing|BERT|Transformers|LLMs|Python|Hugging Face|Communication|Cloud,Berlin,Germany,Hybrid,175000.0,91,2026,Text Processing|BERT|Transformers|LLMs|Python|Hugging Face|Communication|Cloud,Kaggle AI Jobs,
AI Research Scientist,SME (51-500),Research,Research - Python|Research|PyTorch|Publishing|Deep Learning|Problem Solving|Communication|Git,Zurich,Switzerland,On-site,160000.0,88,2025,Python|Research|PyTorch|Publishing|Deep Learning|Problem Solving|Communication|Git,Kaggle AI Jobs,
Senior Data Scientist,Big Tech (FAANG+),Data Science,Data Science - Leadership|Python|Advanced Statistics|Git,San Francisco,USA,On-site,208000.0,90,2026,Leadership|Python|Advanced Statistics|Git,Kaggle AI Jobs,
Robotics Engineer (AI),Startup (1-50),Robotics,Robotics - C++|Simulation|Computer Vision|ROS|SQL,Toronto,Canada,Hybrid,125000.0,76,2025,C++|Simulation|Computer Vision|ROS|SQL,Kaggle AI Jobs,
Data Scientist,Enterprise (5000+),Data Science,Data Science - Scikit-learn|ML Algorithms|Statistics|Data Visualization|Agile|Communication|Cloud,Dubai,UAE,Fully Remote,155000.0,92,2025,Scikit-learn|ML Algorithms|Statistics|Data Visualization|Agile|Communication|Cloud,Kaggle AI Jobs,
MLOps Engineer,Startup (1-50),ML Operations,ML Operations - MLflow|Kubernetes|Monitoring|Leadership|Statistics,Singapore,Singapore,On-site,157000.0,93,2026,MLflow|Kubernetes|Monitoring|Leadership|Statistics,Kaggle AI Jobs,
Data Engineer (AI),Mid-size (501-5000),Data Engineering,Data Engineering - ETL|Python|Spark|Linux|Statistics|Problem Solving,Boston,USA,Hybrid,264000.0,88,2025,ETL|Python|Spark|Linux|Statistics|Problem Solving,Kaggle AI Jobs,
Generative AI Engineer,SME (51-500),AI Engineering,AI Engineering - Fine-tuning|Deployment|Diffusion Models|GenAI APIs|LLMs|Python|Statistics|Linux|Communication,Berlin,Germany,Hybrid,150000.0,95,2026,Fine-tuning|Deployment|Diffusion Models|GenAI APIs|LLMs|Python|Statistics|Linux|Communication,Kaggle AI Jobs,
Senior ML Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Python|System Design|MLOps|Distributed Systems|SQL,Bangalore,India,Hybrid,180000.0,96,2026,Python|System Design|MLOps|Distributed Systems|SQL,Kaggle AI Jobs,
Prompt Engineer,SME (51-500),AI Engineering,AI Engineering - NLP|Prompt Design|Documentation|LLM APIs|Git,London,UK,Hybrid,108000.0,82,2025,NLP|Prompt Design|Documentation|LLM APIs|Git,Kaggle AI Jobs,
Senior ML Engineer,Startup (1-50),AI Engineering,AI Engineering - PyTorch|MLOps|Distributed Systems|System Design|Agile|Research|Cloud,London,UK,Hybrid,180000.0,96,2025,PyTorch|MLOps|Distributed Systems|System Design|Agile|Research|Cloud,Kaggle AI Jobs,
ML Engineer,SME (51-500),AI Engineering,AI Engineering - Kubernetes|TensorFlow|SQL|MLOps|Python|PyTorch|Agile,Beijing,China,Hybrid,120000.0,97,2026,Kubernetes|TensorFlow|SQL|MLOps|Python|PyTorch|Agile,Kaggle AI Jobs,
LLM Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - RAG|LLM APIs|Python|Prompt Engineering|Fine-tuning|Vector DBs|Git|Problem Solving,Chicago,USA,Hybrid,195000.0,98,2025,RAG|LLM APIs|Python|Prompt Engineering|Fine-tuning|Vector DBs|Git|Problem Solving,Kaggle AI Jobs,
Senior ML Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - PyTorch|System Design|Python|Problem Solving|SQL|Research,Los Angeles,USA,On-site,283000.0,96,2026,PyTorch|System Design|Python|Problem Solving|SQL|Research,Kaggle AI Jobs,
AI Security Engineer,Mid-size (501-5000),Security,Security - Red Teaming|Cybersecurity|Python|Risk Analysis|Problem Solving,Los Angeles,USA,Hybrid,312000.0,80,2026,Red Teaming|Cybersecurity|Python|Risk Analysis|Problem Solving,Kaggle AI Jobs,
AI Agent Developer,SME (51-500),AI Engineering,AI Engineering - Tool Use|LangChain|AutoGen|Planning Systems|APIs|Cloud|SQL|Problem Solving,Seattle,USA,On-site,241000.0,96,2026,Tool Use|LangChain|AutoGen|Planning Systems|APIs|Cloud|SQL|Problem Solving,Kaggle AI Jobs,
Data Scientist,SME (51-500),Data Science,Data Science - Scikit-learn|Python|ML Algorithms|Linux|Agile,San Francisco,USA,On-site,222000.0,92,2026,Scikit-learn|Python|ML Algorithms|Linux|Agile,Kaggle AI Jobs,
Computer Vision Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - PyTorch|CUDA|CNNs|Problem Solving|Linux,Remote,Global,Hybrid,336000.0,87,2026,PyTorch|CUDA|CNNs|Problem Solving|Linux,Kaggle AI Jobs,
AI Solutions Architect,Startup (1-50),Architecture,Architecture - Cloud|System Design|ML|Linux|Cloud,Berlin,Germany,On-site,180000.0,84,2026,Cloud|System Design|ML|Linux|Cloud,Kaggle AI Jobs,
AI Solutions Architect,Startup (1-50),Architecture,Architecture - Cloud|Python|ML|System Design|Enterprise Architecture|Leadership|Research|Communication|Problem Solving,Boston,USA,Hybrid,227000.0,84,2026,Cloud|Python|ML|System Design|Enterprise Architecture|Leadership|Research|Communication|Problem Solving,Kaggle AI Jobs,
AI Business Analyst,Big Tech (FAANG+),Business,Business - Data Visualization|Python|SQL|Business Analysis|Cloud,New York,USA,Hybrid,216000.0,78,2025,Data Visualization|Python|SQL|Business Analysis|Cloud,Kaggle AI Jobs,
AI Solutions Architect,Big Tech (FAANG+),Architecture,Architecture - Python|ML|Leadership|Communication,Amsterdam,Netherlands,Fully Remote,269000.0,84,2026,Python|ML|Leadership|Communication,Kaggle AI Jobs,
Data Engineer (AI),Enterprise (5000+),Data Engineering,Data Engineering - Python|Feature Stores|dbt|Spark|Statistics|SQL,Bangalore,India,Fully Remote,130000.0,88,2026,Python|Feature Stores|dbt|Spark|Statistics|SQL,Kaggle AI Jobs,
Prompt Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Documentation|Testing|Prompt Design|NLP|Python|LLM APIs|Leadership|Linux,Berlin,Germany,Hybrid,109000.0,82,2026,Documentation|Testing|Prompt Design|NLP|Python|LLM APIs|Leadership|Linux,Kaggle AI Jobs,
Data Engineer (AI),Startup (1-50),Data Engineering,Data Engineering - Feature Stores|Airflow|ETL|Cloud|Statistics,Singapore,Singapore,Fully Remote,171000.0,88,2026,Feature Stores|Airflow|ETL|Cloud|Statistics,Kaggle AI Jobs,
Prompt Engineer,SME (51-500),AI Engineering,AI Engineering - Documentation|Python|Prompt Design|NLP|Testing|LLM APIs|SQL|Cloud|Git,Singapore,Singapore,Fully Remote,94000.0,82,2026,Documentation|Python|Prompt Design|NLP|Testing|LLM APIs|SQL|Cloud|Git,Kaggle AI Jobs,
Multimodal AI Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Python|Vision-Language Models|APIs|Fine-tuning|Research|Cloud,Paris,France,Fully Remote,208000.0,90,2025,Python|Vision-Language Models|APIs|Fine-tuning|Research|Cloud,Kaggle AI Jobs,
Computer Vision Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Python|CUDA|OpenCV|Leadership|Statistics,Berlin,Germany,On-site,203000.0,87,2025,Python|CUDA|OpenCV|Leadership|Statistics,Kaggle AI Jobs,
AI Agent Developer,Startup (1-50),AI Engineering,AI Engineering - Tool Use|AutoGen|LangChain|APIs|Git,Sydney,Australia,Fully Remote,266000.0,96,2026,Tool Use|AutoGen|LangChain|APIs|Git,Kaggle AI Jobs,
Computer Vision Engineer,SME (51-500),AI Engineering,AI Engineering - Python|Image Processing|OpenCV|CUDA|PyTorch|CNNs|Linux,Tokyo,Japan,Hybrid,161000.0,87,2025,Python|Image Processing|OpenCV|CUDA|PyTorch|CNNs|Linux,Kaggle AI Jobs,
Robotics Engineer (AI),Enterprise (5000+),Robotics,Robotics - Simulation|Control Systems|ROS|Research,London,UK,On-site,178000.0,76,2025,Simulation|Control Systems|ROS|Research,Kaggle AI Jobs,
Deep Learning Engineer,Startup (1-50),AI Engineering,AI Engineering - PyTorch|Neural Networks|GPU Computing|Research|Linux,Sydney,Australia,Hybrid,196000.0,89,2026,PyTorch|Neural Networks|GPU Computing|Research|Linux,Kaggle AI Jobs,
AI Product Manager,Enterprise (5000+),Product,Product - AI Literacy|Product Strategy|Stakeholder Mgmt|Leadership,Singapore,Singapore,Fully Remote,147000.0,85,2025,AI Literacy|Product Strategy|Stakeholder Mgmt|Leadership,Kaggle AI Jobs,
NLP Engineer,SME (51-500),AI Engineering,AI Engineering - Text Processing|Hugging Face|BERT|Transformers|LLMs|Leadership|Cloud,Seattle,USA,Hybrid,300000.0,91,2026,Text Processing|Hugging Face|BERT|Transformers|LLMs|Leadership|Cloud,Kaggle AI Jobs,
AI Business Analyst,Mid-size (501-5000),Business,Business - Data Visualization|Communication|Business Analysis|Python|Problem Solving|Git,Bangalore,India,Hybrid,95000.0,78,2026,Data Visualization|Communication|Business Analysis|Python|Problem Solving|Git,Kaggle AI Jobs,
AI Research Scientist,Big Tech (FAANG+),Research,Research - Deep Learning|Python|Mathematics|Publishing|PyTorch|Linux|Statistics,New York,USA,On-site,297000.0,88,2025,Deep Learning|Python|Mathematics|Publishing|PyTorch|Linux|Statistics,Kaggle AI Jobs,
AI Infrastructure Eng,Mid-size (501-5000),Infrastructure,Infrastructure - Storage|Cloud|Distributed Systems|Kubernetes|Communication|Leadership|Problem Solving,San Francisco,USA,Hybrid,222000.0,85,2026,Storage|Cloud|Distributed Systems|Kubernetes|Communication|Leadership|Problem Solving,Kaggle AI Jobs,
AI Agent Developer,Enterprise (5000+),AI Engineering,AI Engineering - Tool Use|Python|AutoGen|LangChain|Planning Systems|APIs|Linux|Statistics,Amsterdam,Netherlands,Hybrid,253000.0,96,2026,Tool Use|Python|AutoGen|LangChain|Planning Systems|APIs|Linux|Statistics,Kaggle AI Jobs,
AI Solutions Architect,SME (51-500),Architecture,Architecture - ML|System Design|Leadership|Git|Cloud,Paris,France,Hybrid,276000.0,84,2026,ML|System Design|Leadership|Git|Cloud,Kaggle AI Jobs,
RAG Engineer,Enterprise (5000+),AI Engineering,AI Engineering - LLMs|Search Systems|Python|Communication,New York,USA,Fully Remote,293000.0,94,2026,LLMs|Search Systems|Python|Communication,Kaggle AI Jobs,
AI Research Scientist,SME (51-500),Research,Research - Python|Publishing|Mathematics|PyTorch|Deep Learning|Statistics|Cloud,Seattle,USA,Hybrid,221000.0,88,2025,Python|Publishing|Mathematics|PyTorch|Deep Learning|Statistics|Cloud,Kaggle AI Jobs,
AI Compliance Manager,Enterprise (5000+),Governance,Governance - Legal Knowledge|Auditing|Risk Management|Documentation|EU AI Act|Git,Bangalore,India,Fully Remote,100000.0,68,2025,Legal Knowledge|Auditing|Risk Management|Documentation|EU AI Act|Git,Kaggle AI Jobs,
Generative AI Engineer,Startup (1-50),AI Engineering,AI Engineering - Diffusion Models|Deployment|GenAI APIs|LLMs|Statistics,Los Angeles,USA,Fully Remote,150000.0,95,2026,Diffusion Models|Deployment|GenAI APIs|LLMs|Statistics,Kaggle AI Jobs,
AI Solutions Architect,Big Tech (FAANG+),Architecture,Architecture - Python|Leadership|Cloud|Enterprise Architecture|System Design|ML|Cloud|Linux,Austin,USA,Hybrid,245000.0,84,2026,Python|Leadership|Cloud|Enterprise Architecture|System Design|ML|Cloud|Linux,Kaggle AI Jobs,
Data Scientist,Startup (1-50),Data Science,Data Science - SQL|ML Algorithms|Python|Data Visualization|Scikit-learn|Statistics|Communication|Linux,London,UK,Hybrid,167000.0,92,2025,SQL|ML Algorithms|Python|Data Visualization|Scikit-learn|Statistics|Communication|Linux,Kaggle AI Jobs,
LLM Engineer,SME (51-500),AI Engineering,AI Engineering - Prompt Engineering|Vector DBs|RAG|Fine-tuning|LLM APIs|SQL,Amsterdam,Netherlands,On-site,208000.0,98,2026,Prompt Engineering|Vector DBs|RAG|Fine-tuning|LLM APIs|SQL,Kaggle AI Jobs,
Senior ML Engineer,Startup (1-50),AI Engineering,AI Engineering - MLOps|Python|PyTorch|System Design|Distributed Systems|LLM Fine-tuning|Linux,Tokyo,Japan,Hybrid,226000.0,96,2025,MLOps|Python|PyTorch|System Design|Distributed Systems|LLM Fine-tuning|Linux,Kaggle AI Jobs,
AI Infrastructure Eng,Enterprise (5000+),Infrastructure,Infrastructure - Kubernetes|Networking|CUDA|Linux|SQL,Beijing,China,Hybrid,140000.0,85,2025,Kubernetes|Networking|CUDA|Linux|SQL,Kaggle AI Jobs,
AI Compliance Manager,Big Tech (FAANG+),Governance,Governance - Legal Knowledge|EU AI Act|Auditing|Problem Solving,San Francisco,USA,Fully Remote,240000.0,68,2025,Legal Knowledge|EU AI Act|Auditing|Problem Solving,Kaggle AI Jobs,
Data Scientist,Mid-size (501-5000),Data Science,Data Science - ML Algorithms|Scikit-learn|SQL|Statistics|Data Visualization|Statistics,Paris,France,Fully Remote,176000.0,92,2026,ML Algorithms|Scikit-learn|SQL|Statistics|Data Visualization|Statistics,Kaggle AI Jobs,
AI Ethics Officer,Mid-size (501-5000),Governance,Governance - Risk Assessment|Ethics Frameworks|Research|AI Policy|Communication|Cloud|Statistics|Communication,Boston,USA,On-site,144000.0,72,2025,Risk Assessment|Ethics Frameworks|Research|AI Policy|Communication|Cloud|Statistics|Communication,Kaggle AI Jobs,
Multimodal AI Engineer,Enterprise (5000+),AI Engineering,AI Engineering - APIs|Fine-tuning|Vision-Language Models|PyTorch|SQL,Tokyo,Japan,Hybrid,234000.0,90,2026,APIs|Fine-tuning|Vision-Language Models|PyTorch|SQL,Kaggle AI Jobs,
MLOps Engineer,Startup (1-50),ML Operations,ML Operations - Docker|MLflow|Monitoring|Kubernetes|CI/CD|Cloud|Python|Agile,Boston,USA,Hybrid,259000.0,93,2026,Docker|MLflow|Monitoring|Kubernetes|CI/CD|Cloud|Python|Agile,Kaggle AI Jobs,
Prompt Engineer,Startup (1-50),AI Engineering,AI Engineering - Prompt Design|Python|LLM APIs|Testing|Cloud,Singapore,Singapore,Fully Remote,90000.0,82,2025,Prompt Design|Python|LLM APIs|Testing|Cloud,Kaggle AI Jobs,
AI Agent Developer,Enterprise (5000+),AI Engineering,AI Engineering - LangChain|Planning Systems|Tool Use|AutoGen|APIs|Linux|Communication|Agile,Sydney,Australia,Hybrid,315000.0,96,2026,LangChain|Planning Systems|Tool Use|AutoGen|APIs|Linux|Communication|Agile,Kaggle AI Jobs,
Robotics Engineer (AI),Enterprise (5000+),Robotics,Robotics - Control Systems|C++|Computer Vision|Python|Simulation|Cloud|Problem Solving,Chicago,USA,On-site,246000.0,76,2026,Control Systems|C++|Computer Vision|Python|Simulation|Cloud|Problem Solving,Kaggle AI Jobs,
MLOps Engineer,Big Tech (FAANG+),ML Operations,ML Operations - Python|CI/CD|Kubernetes|Monitoring|Docker|Research,London,UK,Hybrid,271000.0,93,2026,Python|CI/CD|Kubernetes|Monitoring|Docker|Research,Kaggle AI Jobs,
RAG Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - LangChain|Vector DBs|Search Systems|Research|Linux|Communication,Boston,USA,Hybrid,336000.0,94,2026,LangChain|Vector DBs|Search Systems|Research|Linux|Communication,Kaggle AI Jobs,
RAG Engineer,Startup (1-50),AI Engineering,AI Engineering - Vector DBs|LangChain|Python|SQL|Leadership,Los Angeles,USA,Hybrid,145000.0,94,2025,Vector DBs|LangChain|Python|SQL|Leadership,Kaggle AI Jobs,
Robotics Engineer (AI),Big Tech (FAANG+),Robotics,Robotics - Python|Simulation|Control Systems|Leadership,Berlin,Germany,Hybrid,206000.0,76,2025,Python|Simulation|Control Systems|Leadership,Kaggle AI Jobs,
AI Ethics Officer,Mid-size (501-5000),Governance,Governance - Communication|Research|AI Policy|Ethics Frameworks|Research|Git,Singapore,Singapore,Hybrid,188000.0,72,2026,Communication|Research|AI Policy|Ethics Frameworks|Research|Git,Kaggle AI Jobs,
ML Engineer,SME (51-500),AI Engineering,AI Engineering - Kubernetes|SQL|PyTorch|MLOps|TensorFlow|Git|Linux|Leadership,Singapore,Singapore,Hybrid,197000.0,97,2025,Kubernetes|SQL|PyTorch|MLOps|TensorFlow|Git|Linux|Leadership,Kaggle AI Jobs,
MLOps Engineer,Startup (1-50),ML Operations,ML Operations - MLflow|Monitoring|Cloud|Docker|Statistics,Sydney,Australia,Fully Remote,191000.0,93,2025,MLflow|Monitoring|Cloud|Docker|Statistics,Kaggle AI Jobs,
AI Research Scientist,Startup (1-50),Research,Research - PyTorch|Publishing|Python|Deep Learning|Mathematics|Git|SQL,London,UK,Hybrid,115000.0,88,2025,PyTorch|Publishing|Python|Deep Learning|Mathematics|Git|SQL,Kaggle AI Jobs,
AI Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Docker|LLM Integration|Python|PyTorch|Cloud (AWS/GCP/Azure)|Agile|Communication,Chicago,USA,Fully Remote,103000.0,95,2025,Docker|LLM Integration|Python|PyTorch|Cloud (AWS/GCP/Azure)|Agile|Communication,Kaggle AI Jobs,
AI Agent Developer,SME (51-500),AI Engineering,AI Engineering - Planning Systems|APIs|Python|LangChain|Tool Use|AutoGen|Communication,Boston,USA,Fully Remote,184000.0,96,2026,Planning Systems|APIs|Python|LangChain|Tool Use|AutoGen|Communication,Kaggle AI Jobs,
AI Solutions Architect,Enterprise (5000+),Architecture,Architecture - System Design|Enterprise Architecture|Python|Leadership|ML|Leadership|Statistics|SQL,Amsterdam,Netherlands,Fully Remote,180000.0,84,2025,System Design|Enterprise Architecture|Python|Leadership|ML|Leadership|Statistics|SQL,Kaggle AI Jobs,
MLOps Engineer,Big Tech (FAANG+),ML Operations,ML Operations - CI/CD|MLflow|Python|Monitoring|Docker|Agile|SQL,Seattle,USA,Hybrid,251000.0,93,2025,CI/CD|MLflow|Python|Monitoring|Docker|Agile|SQL,Kaggle AI Jobs,
Generative AI Engineer,Startup (1-50),AI Engineering,AI Engineering - Fine-tuning|Python|Diffusion Models|Problem Solving|Git|Research,Toronto,Canada,Hybrid,150000.0,95,2026,Fine-tuning|Python|Diffusion Models|Problem Solving|Git|Research,Kaggle AI Jobs,
AI Ethics Officer,SME (51-500),Governance,Governance - Research|Communication|Ethics Frameworks|AI Policy|Risk Assessment|Cloud,Paris,France,Hybrid,110000.0,72,2026,Research|Communication|Ethics Frameworks|AI Policy|Risk Assessment|Cloud,Kaggle AI Jobs,
Data Engineer (AI),SME (51-500),Data Engineering,Data Engineering - Python|dbt|ETL|Spark|Leadership|SQL,Singapore,Singapore,Fully Remote,159000.0,88,2026,Python|dbt|ETL|Spark|Leadership|SQL,Kaggle AI Jobs,
ML Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - SQL|Python|Kubernetes|MLOps|PyTorch|TensorFlow|Statistics|Communication,Toronto,Canada,Fully Remote,155000.0,97,2026,SQL|Python|Kubernetes|MLOps|PyTorch|TensorFlow|Statistics|Communication,Kaggle AI Jobs,
Computer Vision Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - PyTorch|Python|OpenCV|Image Processing|CUDA|CNNs|Leadership|Communication|Git,Toronto,Canada,Fully Remote,146000.0,87,2026,PyTorch|Python|OpenCV|Image Processing|CUDA|CNNs|Leadership|Communication|Git,Kaggle AI Jobs,
